VKT_e0.1_k0.1_t10.dat AIRFOIL
 1.000000     -0.000000
 0.999007     0.000084
 0.996162     0.000302
 0.991531     0.000620
 0.985153     0.001004
 0.977062     0.001420
 0.967296     0.001836
 0.955897     0.002219
 0.942915     0.002539
 0.928404     0.002765
 0.912426     0.002872
 0.895049     0.002836
 0.876348     0.002634
 0.856400     0.002250
 0.835291     0.001671
 0.813109     0.000887
 0.789946     -0.000107
 0.765896     -0.001310
 0.741056     -0.002720
 0.715524     -0.004329
 0.689398     -0.006124
 0.662779     -0.008090
 0.635763     -0.010209
 0.608447     -0.012457
 0.580927     -0.014811
 0.553296     -0.017244
 0.525644     -0.019727
 0.498060     -0.022230
 0.470627     -0.024724
 0.443427     -0.027177
 0.416538     -0.029558
 0.390034     -0.031838
 0.363986     -0.033986
 0.338462     -0.035975
 0.313524     -0.037779
 0.289232     -0.039371
 0.265643     -0.040729
 0.242809     -0.041833
 0.220781     -0.042663
 0.199605     -0.043205
 0.179323     -0.043445
 0.159976     -0.043371
 0.141600     -0.042976
 0.124231     -0.042255
 0.107900     -0.041203
 0.092635     -0.039822
 0.078463     -0.038112
 0.065409     -0.036078
 0.053494     -0.033727
 0.042737     -0.031066
 0.033156     -0.028106
 0.024766     -0.024858
 0.017580     -0.021335
 0.011609     -0.017549
 0.006862     -0.013514
 0.003345     -0.009243
 0.001059     -0.004748
 0.000000     -0.000039
 0.000159     0.004869
 0.001521     0.009962
 0.004065     0.015219
 0.007770     0.020617
 0.012611     0.026129
 0.018565     0.031725
 0.025605     0.037374
 0.033707     0.043045
 0.042843     0.048706
 0.052987     0.054324
 0.064109     0.059866
 0.076180     0.065302
 0.089171     0.070601
 0.103050     0.075731
 0.117785     0.080664
 0.133342     0.085372
 0.149688     0.089829
 0.166787     0.094009
 0.184603     0.097889
 0.203099     0.101446
 0.222237     0.104662
 0.241978     0.107518
 0.262282     0.109997
 0.283109     0.112087
 0.304416     0.113776
 0.326163     0.115054
 0.348304     0.115914
 0.370799     0.116351
 0.393601     0.116364
 0.416666     0.115953
 0.439948     0.115120
 0.463402     0.113871
 0.486981     0.112215
 0.510638     0.110161
 0.534326     0.107723
 0.557996     0.104916
 0.581600     0.101759
 0.605090     0.098273
 0.628416     0.094480
 0.651528     0.090407
 0.674375     0.086080
 0.696908     0.081531
 0.719075     0.076792
 0.740823     0.071896
 0.762100     0.066879
 0.782853     0.061779
 0.803028     0.056634
 0.822569     0.051485
 0.841421     0.046372
 0.859526     0.041336
 0.876828     0.036420
 0.893266     0.031663
 0.908782     0.027108
 0.923313     0.022794
 0.936798     0.018759
 0.949172     0.015039
 0.960371     0.011669
 0.970329     0.008679
 0.978979     0.006098
 0.986250     0.003947
 0.992071     0.002249
 0.996366     0.001016
 0.999048     0.000262
 1.000000     -0.000000
